Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,2016-09-17,2.5,3067,2,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,2017-03-18,2.5,3067,4,2,2,780,135,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,1315000,S,Marshall,2016-11-19,2.5,3067,2,1,0,147,85,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,2017-02-25,2.5,3067,3,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,2016-11-27,2.5,3067,2,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,2016-05-28,2.5,3067,2,1,0,182,82,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,2016-07-30,2.5,3067,2,1,1,172,81,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,2016-03-09,13.5,3042,3,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464
Airport West,5 Harrington Rd,3,h,600000,S,Brad,2017-04-03,13.5,3042,3,1,1,580,114,1960,Moonee Valley City Council,-37.7235,144.8736,Western Metropolitan,3464
Airport West,23 Hart St,2,h,603000,S,Nelson,2017-04-03,13.5,3042,2,1,1,272,84,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,700000,S,Brad,2017-04-03,13.5,3042,3,2,2,239,134,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,2017-04-03,13.5,3042,2,1,1,290,116,1980,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,2017-04-03,13.5,3042,2,1,1,168,86,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,720000,S,Barry,2016-06-08,13.5,3042,2,1,1,620,120,1970,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785000,S,Considine,2016-06-08,13.5,3042,3,1,2,597,127,1970,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,2016-07-05,13.5,3042,6,3,2,976,186,1980,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,2016-07-05,13.5,3042,2,1,1,110,90,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,515000,S,Barry,2016-07-11,13.5,3042,2,1,1,141,73,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,2016-10-09,13.5,3042,2,1,1,120,94,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,2016-10-09,13.5,3042,3,1,6,1063,133,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,2017-11-02,13.5,3042,3,1,1,265,130,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,440000,S,Barry,2016-08-13,13.5,3042,2,1,1,192,120,1970,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464
Airport West,241 Parer Rd,5,h,755000,PI,Propertyau,2016-05-14,13.5,3042,3,2,2,596,120,1970,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700000,PI,Brad,2016-10-15,13.5,3042,3,2,2,165,133,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,830000,S,Barry,2016-04-16,13.5,3042,3,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,462500,S,Barry,2016-07-16,13.5,3042,2,1,1,164,120,2003,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,2016-07-16,13.5,3042,3,2,2,657,120,1970,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,675000,S,Barry,2016-07-16,13.5,3042,2,1,1,612,100,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,2016-07-16,13.5,3042,3,2,5,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464
Airport West,75 King St,3,h,910000,S,McDonald,2016-09-17,13.5,3042,3,1,1,775,120,1970,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,2016-09-17,13.5,3042,5,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,2017-03-18,13.5,3042,3,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,2017-03-18,13.5,3042,3,2,2,422,126,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790000,S,Nelson,2017-03-18,13.5,3042,3,1,3,614,120,1970,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161,101,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464
Airport West,37 North St,3,t,825000,SP,Barry,2016-11-19,13.5,3042,3,2,1,293,102,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,2016-05-22,13.5,3042,3,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,805000,S,Barry,2016-08-22,13.5,3042,3,1,1,623,120,1970,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510000,S,Nelson,2016-08-22,13.5,3042,2,1,1,141,76,1970,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,612000,S,Nelson,2016-08-22,13.5,3042,3,2,1,212,120,1970,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662000,S,Brad,2016-04-23,13.5,3042,3,1,2,612,120,1970,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,2016-09-24,13.5,3042,4,3,2,532,120,1970,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464
Airport West,33 North St,3,h,720000,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585,120,1970,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,2016-11-27,13.5,3042,4,1,2,509,120,1970,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628,146,1975,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,2016-03-09,3.3,3206,2,1,0,120,82,1900,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,2016-03-09,3.3,3206,2,1,0,159,120,1970,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,2017-04-03,3.3,3206,3,2,0,211,198,1890,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,14 Merton St,2,h,600000,SP,Marshall,2017-04-03,3.3,3206,2,1,0,215,120,1900,Port Phillip City Council,-37.8405,144.953,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,1436000,S,RT,2017-04-03,3.3,3206,2,1,0,130,81,1900,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,9 Boyd St,3,h,600000,SN,Greg,2016-06-08,3.3,3206,2,2,1,336,145,1890,Port Phillip City Council,-37.8471,144.9561,Southern Metropolitan,3280
Albert Park,75 Graham St,2,h,1110000,S,Marshall,2016-06-08,3.3,3206,1,1,0,147,120,1900,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,2016-07-05,3.3,3206,2,1,1,167,120,1970,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan,3280
Albert Park,81 Richardson St,3,h,600000,S,Marshall,2016-07-05,3.3,3206,3,1,2,316,125,1880,Port Phillip City Council,-37.8449,144.9536,Southern Metropolitan,3280
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,2016-07-11,3.3,3206,3,2,2,718,120,1970,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,h,2120000,S,Greg,2016-10-09,3.3,3206,2,1,1,199,107,1900,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,2016-10-09,3.3,3206,3,1,1,253,120,1970,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan,3280
Albert Park,5 Withers St,3,h,600000,SN,Marshall,2016-10-09,3.3,3206,3,1,0,126,88,1910,Port Phillip City Council,-37.8427,144.9515,Southern Metropolitan,3280
Albert Park,44 Draper St,2,h,1810000,PI,Greg,2016-10-12,3.3,3206,2,1,0,240,120,1970,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan,3280
Albert Park,23 Finlay St,5,h,2100000,S,Greg,2016-10-12,3.3,3206,5,2,1,237,120,1970,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,2016-10-12,3.3,3206,3,1,0,129,120,1970,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan,3280
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,2016-12-11,3.3,3206,2,1,0,288,120,1970,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan,3280
Albert Park,140 Danks St,2,h,600000,SP,Marshall,2016-08-13,3.3,3206,2,1,2,366,117,1900,Port Phillip City Council,-37.847,144.9506,Southern Metropolitan,3280
Albert Park,70 Barrett St,3,h,2575000,S,Greg,2016-10-15,3.3,3206,3,2,1,228,120,1970,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,1322500,S,Greg,2016-10-15,3.3,3206,2,1,0,149,98,1890,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,1 Herbert Pl,2,h,600000,S,hockingstuart,2016-10-15,3.3,3206,2,1,1,152,120,1970,Port Phillip City Council,-37.8437,144.959,Southern Metropolitan,3280
Albert Park,364 Montague St,2,h,1562500,S,Greg,2016-10-15,3.3,3206,2,1,0,141,83,1890,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000000,VB,RT,2016-04-16,3.3,3206,3,2,1,211,147,1900,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,28 Dinsdale St,4,h,600000,S,Marshall,2016-09-17,3.3,3206,3,1,0,236,120,1970,Port Phillip City Council,-37.8454,144.9521,Southern Metropolitan,3280
Albert Park,90 Danks St,3,h,600000,S,Marshall,2017-03-18,3.3,3206,3,1,2,300,120,1970,Port Phillip City Council,-37.8457,144.9479,Southern Metropolitan,3280
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,2017-03-18,3.3,3206,3,1,0,209,120,1900,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,3010000,S,Greg,2017-03-18,3.3,3206,3,2,0,147,146,1890,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,36 Ashworth St,3,h,600000,SP,Marshall,2016-06-18,3.3,3206,3,1,0,173,120,1970,Port Phillip City Council,-37.8482,144.9513,Southern Metropolitan,3280
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327,254,1910,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,18 Herbert St,3,h,600000,SN,Cayzer,2016-11-19,3.3,3206,3,1,0,169,120,1970,Port Phillip City Council,-37.8448,144.9578,Southern Metropolitan,3280
Albert Park,9 Merton Pl,3,h,600000,SP,Marshall,2016-05-22,3.3,3206,3,2,1,122,120,1970,Port Phillip City Council,-37.845,144.9545,Southern Metropolitan,3280
Albert Park,16 Dinsdale St,3,h,600000,S,Greg,2016-09-24,3.3,3206,3,2,1,241,119,1990,Port Phillip City Council,-37.8452,144.9518,Southern Metropolitan,3280
Albert Park,51 Graham St,2,h,600000,PI,Marshall,2016-09-24,3.3,3206,2,2,1,225,120,1970,Port Phillip City Council,-37.8441,144.9479,Southern Metropolitan,3280
Albert Park,143 Kerferd Rd,7,h,600000,SN,hockingstuart,2016-09-24,3.3,3206,7,7,0,435,120,1970,Port Phillip City Council,-37.8473,144.9539,Southern Metropolitan,3280
Albert Park,49 Page St,3,h,2000000,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238,131,1890,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,115 Page St,4,h,4735000,S,Marshall,2017-02-25,3.3,3206,4,2,1,330,207,1910,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,32 Page St,2,h,1340000,S,Greg,2017-02-25,3.3,3206,2,1,0,136,120,1970,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280
Albert Park,34 Richardson St,3,h,1801000,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202,120,1970,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan,3280
Albert Park,22 Greig St,3,h,3755000,S,Greg,2016-07-26,3.3,3206,3,2,2,325,120,1970,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan,3280
Albert Park,27 Barrett St,4,h,2140000,S,Greg,2016-06-27,3.3,3206,3,2,1,183,145,1880,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,44 Greig St,2,h,1750000,S,Marshall,2016-11-27,3.3,3206,2,1,1,162,120,1970,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280
Albert Park,6 Brooke St,2,h,980000,S,Greg,2016-05-28,3.3,3206,2,1,0,79,68,1890,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,7 Herbert Pl,2,h,600000,SP,Marshall,2016-05-28,3.3,3206,2,1,0,99,65,1900,Port Phillip City Council,-37.8438,144.9588,Southern Metropolitan,3280
Albert Park,8 Kerferd Pl,4,h,600000,SP,Marshall,2016-05-28,3.3,3206,4,2,0,230,185,1900,Port Phillip City Council,-37.842,144.958,Southern Metropolitan,3280
Albert Park,5 Reed St,3,h,600000,SN,Greg,2016-05-28,3.3,3206,3,2,1,141,120,1970,Port Phillip City Council,-37.8446,144.945,Southern Metropolitan,3280
Albert Park,227a Danks St,3,h,2030000,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152,120,1970,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,17 Reed St,3,h,1740000,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147,134,1890,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,9 Durham St,1,h,985000,S,Marshall,2016-07-30,3.3,3206,1,1,0,81,54,1900,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280
Alphington,30 Austin St,3,h,600000,SN,McGrath,2016-03-09,6.4,3078,3,2,1,174,122,2003,Darebin City Council,-37.7818,145.0198,Northern Metropolitan,2211
Alphington,6 Smith St,4,h,2000000,S,Brace,2016-03-09,6.4,3078,3,2,4,853,263,1930,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211
Alphington,5/6 Yarralea St,3,h,1110000,S,Jellis,2016-03-09,6.4,3078,3,2,2,208,120,2013,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211
Alphington,136A Fulham Rd,3,h,1492000,S,Jellis,2017-04-03,6.4,3078,3,2,2,411,120,1970,Darebin City Council,-37.7713,145.0279,Northern Metropolitan,2211
Alphington,4 Tuckett St,3,h,600000,S,Jellis,2016-07-05,6.4,3078,3,1,3,922,120,1970,Darebin City Council,-37.7812,145.0235,Northern Metropolitan,2211
Alphington,44 Shiers St,4,h,1717500,S,Collins,2016-08-10,6.4,3078,4,2,1,599,203,1925,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211
Alphington,83 Fulham Rd,5,h,2840000,S,Nelson,2016-12-06,6.4,3078,5,4,4,809,165,1910,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211
Alphington,29 Alphington St,5,h,600000,S,Collins,2016-12-11,6.4,3078,5,3,4,743,120,1915,Darebin City Council,-37.7845,145.0208,Northern Metropolitan,2211
Alphington,3/19 Harker St,2,u,525500,S,Miles,2016-12-11,6.4,3078,2,1,1,88,60,1960,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211
Alphington,4/2 Miller St,2,t,805000,S,Miles,2016-12-11,6.4,3078,2,2,3,155,140,2004,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211
Alphington,815 Heidelberg Rd,3,h,2000000,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686,120,1970,Darebin City Council,-37.78,145.0341,Northern Metropolitan,2211
Alphington,44 Naroon Rd,3,h,1540000,S,Nelson,2016-04-16,6.4,3078,3,1,2,592,120,1970,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211
Alphington,3/98 Grange Rd,2,u,820000,S,Nelson,2017-03-18,6.4,3078,2,1,1,183,120,1970,Darebin City Council,-37.7747,145.0264,Northern Metropolitan,2211
Alphington,10 Bennett St,4,h,1830000,S,Nelson,2016-11-19,6.4,3078,4,2,2,606,112,1970,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211
Alphington,38 Bennett St,4,h,2100000,S,Nelson,2016-11-19,6.4,3078,4,2,2,575,271,2008,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211
Alphington,2c Hamilton St,3,h,865000,SP,hockingstuart,2016-05-22,6.4,3078,3,1,1,180,131,2010,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211
Alphington,29 Naroon Rd,4,h,600000,SP,Jellis,2017-02-25,6.4,3078,4,2,2,597,120,1970,Darebin City Council,-37.7765,145.0283,Northern Metropolitan,2211
Alphington,22 Lowther St,3,h,1165000,S,Barry,2016-06-27,6.4,3078,3,1,2,979,120,1970,Darebin City Council,-37.7792,145.029,Northern Metropolitan,2211
Alphington,11 Margaret Gr,4,h,1900000,SP,McGrath,2016-11-27,6.4,3078,4,2,2,556,272,1930,Darebin City Council,-37.7844,145.0225,Northern Metropolitan,2211
Alphington,21 Como St,5,h,600000,SN,Nelson,2016-08-28,6.4,3078,5,2,2,552,211,1916,Darebin City Council,-37.7829,145.0337,Northern Metropolitan,2211
Alphington,42 Shiers St,4,h,1950000,S,Jellis,2016-07-30,6.4,3078,4,2,3,589,210,1920,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,2211
Altona,158 Queen St,3,h,520000,VB,Greg,2016-03-09,13.8,3018,3,2,1,352,242,2015,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301
Altona,59 Bracken Gr,5,h,1525000,S,Greg,2016-03-12,13.8,3018,5,3,3,729,268,2005,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301
Altona,1/123 Blyth St,2,t,720000,S,hockingstuart,2016-04-02,13.8,3018,2,1,2,292,125,2013,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301
Altona,4 Blyth St,3,h,1120000,S,Barlow,2017-04-03,13.8,3018,3,1,2,506,120,1930,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301
Altona,20 Linnet St,4,h,780000,PI,Sweeney,2016-04-06,13.8,3018,4,1,4,655,120,1970,Hobsons Bay City Council,-37.868,144.8154,Western Metropolitan,5301
Altona,29 Rose St,4,h,1780000,SP,Greg,2016-04-06,13.8,3018,4,3,6,1057,220,1962,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301
Altona,1/170 Blyth St,3,u,630000,S,Barlow,2016-06-08,13.8,3018,2,1,2,311,94,1955,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301
Altona,156 Maidstone St,3,h,660000,VB,Greg,2016-07-05,13.8,3018,3,1,1,602,123,1955,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301
Altona,11 Keeshan Ct,3,h,683500,S,Greg,2016-07-11,13.8,3018,3,1,1,530,120,1970,Hobsons Bay City Council,-37.8594,144.817,Western Metropolitan,5301
Altona,1/136 Queen St,2,u,580000,S,Barlow,2016-08-10,13.8,3018,2,1,1,225,93,1988,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301
Altona,1/265 Queen St,3,t,800000,SP,hockingstuart,2016-08-10,13.8,3018,3,2,2,280,120,1997,Hobsons Bay City Council,-37.8734,144.8143,Western Metropolitan,5301
Altona,3/26 Grieve Pde,2,u,510000,S,Village,2016-10-09,13.8,3018,2,1,1,127,76,1990,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,5301
Altona,261 Queen St,4,h,1070000,S,Barlow,2016-10-09,13.8,3018,4,2,2,695,120,1970,Hobsons Bay City Council,-37.8733,144.8147,Western Metropolitan,5301
Altona,4/5 Rose St,2,u,425000,S,hockingstuart,2016-10-09,13.8,3018,2,1,2,115,57,1980,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301
Altona,1/60 David St,3,u,605000,S,Jas,2016-10-12,13.8,3018,3,2,2,230,120,1970,Hobsons Bay City Council,-37.8646,144.827,Western Metropolitan,5301
Altona,1A Merritt Ct,3,t,705000,S,hockingstuart,2017-11-02,13.8,3018,3,2,2,197,152,1970,Hobsons Bay City Council,-37.8579,144.8181,Western Metropolitan,5301
Altona,24 Wren St,4,h,845000,S,hockingstuart,2017-11-02,13.8,3018,4,1,2,745,130,1950,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301
Altona,1/152 Blyth St,3,t,743000,SP,Gunn&Co,2016-12-11,13.8,3018,3,2,2,211,176,1970,Hobsons Bay City Council,-37.8698,144.816,Western Metropolitan,5301
Altona,164 Maidstone St,3,h,635000,S,Sweeney,2016-05-14,13.8,3018,3,1,4,625,120,1960,Hobsons Bay City Council,-37.8611,144.8114,Western Metropolitan,5301
Altona,3/25 Rayner St,2,u,620000,SP,hockingstuart,2016-05-14,13.8,3018,2,1,1,168,120,1970,Hobsons Bay City Council,-37.8676,144.8202,Western Metropolitan,5301
Altona,3/46 Sargood St,2,u,447000,S,Burnham,2016-10-15,13.8,3018,2,1,1,137,77,1990,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,5301
